Month,Active Users,Avg Lookups/Day,Monthly UPC Lookups,Cumulative UPCs Looked Up,UPC Saturation (%),UPC API Calls Billed,UPC API Cost,API Plan,UPC Storage Size (GB),User Storage Size (GB),UPC Storage Cost,User Storage Cost,Storage Cost,Total Cost,Break Even Revenue/User
1,20,5.0,3000,3000,0.0006852763924704971,3000,0.0,free,0.007152557373046875,0.02384185791015625,0.007152557373046875,0.02384185791015625,0.030994415283203125,0.030994415283203125,0.0015497207641601562
2,23,5.0,3450,6450,0.0014733442438115687,3450,99.0,dev,0.015377998352050781,0.027418136596679688,0.015377998352050781,0.027418136596679688,0.04279613494873047,99.04279613494873,4.306208527606467
3,26,5.0,3900,10350,0.0023642035540232154,3900,99.0,dev,0.02467632293701172,0.030994415283203125,0.02467632293701172,0.030994415283203125,0.055670738220214844,99.05567073822021,3.8098334899315467
4,30,5.0,4500,14850,0.003392118142728961,4500,99.0,dev,0.03540515899658203,0.035762786865234375,0.03540515899658203,0.035762786865234375,0.0711679458618164,99.07116794586182,3.3023722648620604
5,35,5.0,5250,20100,0.004591351829552331,5250,99.0,dev,0.04792213439941406,0.04172325134277344,0.04792213439941406,0.04172325134277344,0.0896453857421875,99.08964538574219,2.8311327253069196
6,40,5.0,6000,26100,0.005961904614493325,6000,99.0,dev,0.06222724914550781,0.0476837158203125,0.06222724914550781,0.0476837158203125,0.10991096496582031,99.10991096496582,2.4777477741241456
7,46,5.0,6900,33000,0.007538040317175469,6900,99.0,dev,0.07867813110351562,0.054836273193359375,0.07867813110351562,0.054836273193359375,0.133514404296875,99.13351440429688,2.15507640009341
8,53,5.0,7950,40950,0.009354022757222285,7950,99.0,dev,0.09763240814208984,0.06318092346191406,0.09763240814208984,0.06318092346191406,0.1608133316040039,99.160813331604,1.8709587421057359
9,61,5.0,9150,50100,0.011444115754257302,9150,99.0,dev,0.11944770812988281,0.07271766662597656,0.11944770812988281,0.07271766662597656,0.19216537475585938,99.19216537475586,1.6261010717173092
10,70,5.0,10500,60600,0.013842583127904042,10500,99.0,dev,0.14448165893554688,0.08344650268554688,0.14448165893554688,0.08344650268554688,0.22792816162109375,99.2279281616211,1.4175418308803014
11,81,5.0,12150,72750,0.016617952517409555,12150,99.0,dev,0.17344951629638672,0.09655952453613281,0.17344951629638672,0.09655952453613281,0.27000904083251953,99.27000904083252,1.225555667170772
12,93,5.0,13950,86700,0.01980448774239737,13950,99.0,dev,0.2067089080810547,0.11086463928222656,0.2067089080810547,0.11086463928222656,0.31757354736328125,99.31757354736328,1.067930898358745
13,107,5.0,16050,102750,0.023470716442114528,16050,99.0,dev,0.24497509002685547,0.12755393981933594,0.24497509002685547,0.12755393981933594,0.3725290298461914,99.37252902984619,0.9287152245780018
14,123,5.0,18450,121200,0.027685166255808084,18450,99.0,dev,0.28896331787109375,0.14662742614746094,0.28896331787109375,0.14662742614746094,0.4355907440185547,99.43559074401855,0.8084194369432403
15,141,5.0,21150,142350,0.03251636482272509,21150,99.0,dev,0.3393888473510742,0.16808509826660156,0.3393888473510742,0.16808509826660156,0.5074739456176758,99.50747394561768,0.7057267655717566
16,163,5.0,24450,166800,0.03810136742135964,24450,99.0,dev,0.39768218994140625,0.19431114196777344,0.39768218994140625,0.19431114196777344,0.5919933319091797,99.59199333190918,0.6109938241221422
17,187,5.0,28050,194850,0.044508701690958795,28050,99.0,dev,0.46455860137939453,0.22292137145996094,0.46455860137939453,0.22292137145996094,0.6874799728393555,99.68747997283936,0.5330881281970019
18,216,5.0,32400,227250,0.051909686729640164,32400,99.0,dev,0.5418062210083008,0.2574920654296875,0.5418062210083008,0.2574920654296875,0.7992982864379883,99.79929828643799,0.46203378836313885
19,248,5.0,37200,264450,0.06040711399627432,37200,99.0,dev,0.630497932434082,0.2956390380859375,0.630497932434082,0.2956390380859375,0.9261369705200195,99.92613697052002,0.4029279716553227
20,285,5.0,42750,307200,0.07017230258897891,42750,99.0,dev,0.732421875,0.33974647521972656,0.732421875,0.33974647521972656,1.0721683502197266,100.07216835021973,0.35113041526392885
21,328,5.0,49200,356400,0.08141083542549506,49200,99.0,dev,0.8497238159179688,0.3910064697265625,0.8497238159179688,0.3910064697265625,1.2407302856445312,100.24073028564453,0.30561198257818456
22,378,5.0,56700,413100,0.09436255924318747,56700,99.0,dev,0.9849071502685547,0.4506111145019531,0.9849071502685547,0.4506111145019531,1.4355182647705078,100.43551826477051,0.26570242927187965
23,434,5.0,65100,478200,0.10923305695979724,65100,99.0,dev,1.1401176452636719,0.5173683166503906,1.1401176452636719,0.5173683166503906,1.6574859619140625,100.65748596191406,0.231929691156484
24,500,5.0,75000,553200,0.12636496677155967,75000,99.0,dev,1.3189315795898438,0.5960464477539062,1.3189315795898438,0.5960464477539062,1.91497802734375,100.91497802734375,0.2018299560546875
