name,title,description,progression_type,fa_icon,fa_color,progression_json
scanner,Scanner,Scanning a product barcode to see if it is in our library,cumulative,fa-barcode,blue-700,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""}, {""level"": ""Apprentice"", ""threshold"": 25, ""color"": ""blue""}, {""level"": ""Pro"", ""threshold"": 50, ""color"": ""purple""}, {""level"": ""Expert"", ""threshold"": 100, ""color"": ""gold""}]"
hunter,Product Hunter,Finding +New Products to add to our library,max_active,fa-paw,red-700,"[{""level"": ""Scout"", ""threshold"": 1, ""color"": ""gray""}, {""level"": ""Tracker"", ""threshold"": 10, ""color"": ""blue""}, {""level"": ""Trapper"", ""threshold"": 25, ""color"": ""purple""}, {""level"": ""Hunter"", ""threshold"": 50, ""color"": ""gold""}, {""level"": ""Master Hunter"", ""threshold"": 100, ""color"": ""red""}]"
pantry,Labelled Pantry,Favoriting products that you intend to buy,max_active,fa-tag,black-700,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 10, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 50, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 100, ""color"": ""gold""}]"
opinion,Refined Opinion,Rating: products – deals – hosts and participants,max_active,fa-star,indigo-700,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""}, {""level"": ""Bronze"", ""threshold"": 20, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 75, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 150, ""color"": ""gold""}, {""level"": ""Diamond"", ""threshold"": 500, ""color"": ""blue""}]"
deal_spotter,Deal Spotter,Reporting deals and discounts in your area,max_active,fa-binoculars ,yellow-700,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 10, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 50, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 150, ""color"": ""gold""}]"
megaphone,Megaphone,Max number of people alerted when you report a deal.,max_active,fa-bullhorn,yellow-200,"[{""level"": ""Glass"", ""threshold"": 1, ""color"": ""light-blue""}, {""level"": ""Bronze"", ""threshold"": 5, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 25, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 50, ""color"": ""gold""}]"
trend_starter,Trend Starter,Getting Favorites on Products you add and completed carts on Deals you add,max_active,fa-fire,yellow-600,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 10, ""color"": ""bronze""},{""level"": ""Silver"", ""threshold"": 50, ""color"": ""silver""},{""level"": ""Gold"", ""threshold"": 200, ""color"": ""gold""}]"
community_builder,Community Builder,Joining groups to connect with other users,max_active,fa-users,purple-600,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 5, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 15, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 40, ""color"": ""gold""}]"
organizer,Organizer,Hosting and organizing collective carts for bulk-buying,cumulative,fa-calendar-check,teal-600,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 5, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 25, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 50, ""color"": ""gold""}]"
cart_collaborator,Cart Collaborator,Participating in collective bulk buying carts,cumulative,fa-cart-shopping,pink-600,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 10, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 50, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 100, ""color"": ""gold""}]"
curator,Data Curator,Reporting bad information for removal from the site,cumulative,fa-pencil,green-700,"[{""level"": ""Beginner"", ""threshold"": 1, ""color"": ""purple""},{""level"": ""Bronze"", ""threshold"": 10, ""color"": ""bronze""}, {""level"": ""Silver"", ""threshold"": 50, ""color"": ""silver""}, {""level"": ""Gold"", ""threshold"": 100, ""color"": ""gold""}]"
loyal_member,Loyal Member,Consistent participation and activity over time,streak,fa-heart,red-600,"[{""level"": ""2-day streak"", ""threshold"": 2, ""color"": ""bronze""},{""level"": ""5-day streak"", ""threshold"": 5, ""color"": ""bronze""}, {""level"": ""14-day streak"", ""threshold"": 14, ""color"": ""silver""}, {""level"": ""30-day streak"", ""threshold"": 30, ""color"": ""gold""}, {""level"": ""1-year streak"", ""threshold"": 365, ""color"": ""pink""}]"
