plu,category,commodity,variety,size,measurements_north_america,measurements_rest_of_world,restrictions_notes,botanical_name,aka,notes,revision_date,date_added,gpc,image_url,image
3000,Fruits,Apples,Alkmene,All Sizes,NA,NA,NA,Malus domestica,NA,test note,2021-03-04,1999-12-31,NA,NA,NA
3001,Fruits,Apples,Aurora/Southern Rose,Small,100 size and smaller,Average Fruit Weight = less than 205g,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3002,Fruits,Apples,Cantared,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3003,Fruits,Apples,D'Estivale,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3004,Fruits,Apples,Discovery,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3005,Fruits,Apples,Golden Delicious Blush,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3006,Fruits,Apples,Ingrid Marie,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3007,Fruits,Apples,Lochbuie,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3008,Fruits,Apples,Rubinette,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3009,Fruits,Apples,Russet,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3010,Fruits,Apples,Cripps Red,Small,100 size and smaller,Average Fruit Weight = less than 205g,NA,Malus domestica,Sundowner,NA,2021-02-26,1999-12-31,NA,NA,NA
3011,Fruits,Apples,Worcester,All Sizes,NA,NA,NA,Malus domestica,NA,NA,2021-02-26,1999-12-31,NA,NA,NA
3012,Fruits,Pears,Abate Fetel,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3013,Fruits,Pears,Beurre Hardy,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3014,Fruits,Pears,Bon Rouge,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3015,Fruits,Pears,Clara Friis,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3016,Fruits,Pears,Concorde,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,http://check.ifpsglobal.com/file/view/3016-concorde-pear_1629985413.PNG,3016-concorde-pear_1629985413.PNG
3017,Fruits,Pears,Conference,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3018,Fruits,Pears,Durondeau,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
3019,Fruits,Pears,Flamingo,All Sizes,NA,NA,NA,Pyrus spp.,NA,NA,1999-12-31,1999-12-31,NA,NA,NA
